127.0.0.1 - - [30/Apr/2024:00:12:05 +0545] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [30/Apr/2024:00:12:06 +0545] "GET /TimZyStore/pages/Login.jsp HTTP/1.1" 200 2430
0:0:0:0:0:0:0:1 - - [30/Apr/2024:00:12:09 +0545] "POST /TimZyStore/pages/Login.jsp HTTP/1.1" 200 2430
0:0:0:0:0:0:0:1 - - [30/Apr/2024:00:12:10 +0545] "POST /TimZyStore/pages/Login.jsp HTTP/1.1" 200 2430
0:0:0:0:0:0:0:1 - - [30/Apr/2024:00:12:13 +0545] "GET /TimZyStore/pages/signup.jsp HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [30/Apr/2024:00:12:21 +0545] "GET /TimZyStore/pages/signup.jsp HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [30/Apr/2024:00:12:48 +0545] "GET /TimZyStore/pages/signup.jsp HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [30/Apr/2024:00:12:49 +0545] "GET /TimZyStore/pages/signup.jsp HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [30/Apr/2024:00:12:53 +0545] "GET /TimZyStore/pages/signup.jsp HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [30/Apr/2024:00:13:30 +0545] "GET /TimZyStore/pages/SignUp.jsp HTTP/1.1" 200 5334
0:0:0:0:0:0:0:1 - - [30/Apr/2024:00:13:46 +0545] "GET /TimZyStore/pages/Login.html HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [30/Apr/2024:00:14:38 +0545] "GET /TimZyStore/pages/Login.html HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [30/Apr/2024:00:15:26 +0545] "GET /TimZyStore/pages/SignUp.jsp HTTP/1.1" 200 5337
0:0:0:0:0:0:0:1 - - [30/Apr/2024:00:15:28 +0545] "GET /TimZyStore/Login.html HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [30/Apr/2024:00:15:42 +0545] "GET /TimZyStore/pages/Login.html HTTP/1.1" 404 786
