127.0.0.1 - - [02/May/2024:08:12:49 +0545] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [02/May/2024:08:12:50 +0545] "GET /TimZyStore/pages/AdminPanel.jsp HTTP/1.1" 200 5700
0:0:0:0:0:0:0:1 - - [02/May/2024:08:12:50 +0545] "GET /TimZyStore/pages/img/people.png HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [02/May/2024:08:12:50 +0545] "GET /TimZyStore/pages/script.js HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [02/May/2024:08:12:50 +0545] "GET /TimZyStore/Stylesheet/AdminPanel.css HTTP/1.1" 200 3013
0:0:0:0:0:0:0:1 - - [02/May/2024:08:12:51 +0545] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [02/May/2024:08:14:14 +0545] "GET /TimZyStore/pages/Home.jsp HTTP/1.1" 200 1947
0:0:0:0:0:0:0:1 - - [02/May/2024:08:14:14 +0545] "GET /TimZyStore/images/mark%20location.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2024:08:14:14 +0545] "GET /TimZyStore/images/smart%20watch.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2024:08:14:14 +0545] "GET /TimZyStore/Stylesheet/Style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2024:08:14:14 +0545] "GET /TimZyStore/images/heart%20pulse.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2024:08:14:14 +0545] "GET /TimZyStore/images/calories.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2024:08:14:23 +0545] "GET /TimZyStore/pages/Product.jsp HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [02/May/2024:08:14:26 +0545] "GET /TimZyStore/pages/watch.jsp HTTP/1.1" 404 749
0:0:0:0:0:0:0:1 - - [02/May/2024:08:17:07 +0545] "GET /TimZyStore/pages/addtocart.jsp HTTP/1.1" 200 3518
0:0:0:0:0:0:0:1 - - [02/May/2024:08:17:07 +0545] "GET /TimZyStore/pages/order.css HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [02/May/2024:08:18:28 +0545] "GET /TimZyStore/pages/addtocart.jsp HTTP/1.1" 200 3514
0:0:0:0:0:0:0:1 - - [02/May/2024:08:18:28 +0545] "GET /TimZyStore/Stylesheet/addtocart.css HTTP/1.1" 200 17
0:0:0:0:0:0:0:1 - - [02/May/2024:08:18:31 +0545] "GET /TimZyStore/pages/addtocart.jsp HTTP/1.1" 200 3514
0:0:0:0:0:0:0:1 - - [02/May/2024:08:19:08 +0545] "GET /TimZyStore/pages/addtocart.jsp HTTP/1.1" 200 3514
0:0:0:0:0:0:0:1 - - [02/May/2024:08:19:08 +0545] "GET /TimZyStore/Stylesheet/addtocart.css HTTP/1.1" 200 1873
0:0:0:0:0:0:0:1 - - [02/May/2024:08:21:55 +0545] "GET /TimZyStore/pages/userorderhistory.jsp HTTP/1.1" 200 1834
0:0:0:0:0:0:0:1 - - [02/May/2024:08:21:55 +0545] "GET /TimZyStore/Stylesheet/orderhistory.css HTTP/1.1" 404 797
0:0:0:0:0:0:0:1 - - [02/May/2024:08:21:58 +0545] "GET /TimZyStore/pages/userorderhistory.jsp HTTP/1.1" 200 1834
0:0:0:0:0:0:0:1 - - [02/May/2024:08:21:58 +0545] "GET /TimZyStore/Stylesheet/orderhistory.css HTTP/1.1" 404 797
0:0:0:0:0:0:0:1 - - [02/May/2024:08:21:58 +0545] "GET /TimZyStore/pages/userorderhistory.jsp HTTP/1.1" 200 1834
0:0:0:0:0:0:0:1 - - [02/May/2024:08:21:58 +0545] "GET /TimZyStore/Stylesheet/orderhistory.css HTTP/1.1" 404 797
0:0:0:0:0:0:0:1 - - [02/May/2024:08:22:08 +0545] "GET /TimZyStore/pages/userorderhistory.jsp HTTP/1.1" 200 1834
0:0:0:0:0:0:0:1 - - [02/May/2024:08:22:08 +0545] "GET /TimZyStore/Stylesheet/orderhistory.css HTTP/1.1" 404 797
0:0:0:0:0:0:0:1 - - [02/May/2024:08:22:14 +0545] "GET /TimZyStore/pages/userorderhistory.jsp HTTP/1.1" 200 1835
0:0:0:0:0:0:0:1 - - [02/May/2024:08:22:14 +0545] "GET /TimZyStore/Stylesheet/orderhhistory.css HTTP/1.1" 200 1875
0:0:0:0:0:0:0:1 - - [02/May/2024:08:22:14 +0545] "GET /TimZyStore/pages/userorderhistory.jsp HTTP/1.1" 200 1835
0:0:0:0:0:0:0:1 - - [02/May/2024:08:25:41 +0545] "GET /TimZyStore/pages/edituserprofile.jsp HTTP/1.1" 200 1775
0:0:0:0:0:0:0:1 - - [02/May/2024:08:25:41 +0545] "GET /TimZyStore/Stylesheet/userprofile.css HTTP/1.1" 200 2675
0:0:0:0:0:0:0:1 - - [02/May/2024:08:25:41 +0545] "GET /TimZyStore/pages/thar.jpeg HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [02/May/2024:08:33:50 +0545] "GET /TimZyStore/pages/admineditprofile.jsp HTTP/1.1" 200 2040
0:0:0:0:0:0:0:1 - - [02/May/2024:08:33:50 +0545] "GET /TimZyStore/Stylesheet/admin.css HTTP/1.1" 200 2675
0:0:0:0:0:0:0:1 - - [02/May/2024:08:33:50 +0545] "GET /TimZyStore/pages/admin_profile_pic.jpg HTTP/1.1" 404 797
0:0:0:0:0:0:0:1 - - [02/May/2024:08:33:52 +0545] "GET /TimZyStore/pages/adminprofile.jsp HTTP/1.1" 200 1303
0:0:0:0:0:0:0:1 - - [02/May/2024:08:33:52 +0545] "GET /TimZyStore/pages/admin_profile_pic.jpg HTTP/1.1" 404 797
0:0:0:0:0:0:0:1 - - [02/May/2024:08:33:54 +0545] "GET /TimZyStore/pages/admineditprofile.jsp HTTP/1.1" 200 2040
0:0:0:0:0:0:0:1 - - [02/May/2024:08:33:54 +0545] "GET /TimZyStore/pages/admin_profile_pic.jpg HTTP/1.1" 404 797
0:0:0:0:0:0:0:1 - - [02/May/2024:08:34:06 +0545] "GET /TimZyStore/pages/adminprofile.jsp HTTP/1.1" 200 1303
0:0:0:0:0:0:0:1 - - [02/May/2024:08:34:06 +0545] "GET /TimZyStore/pages/admin_profile_pic.jpg HTTP/1.1" 404 797
0:0:0:0:0:0:0:1 - - [02/May/2024:08:34:06 +0545] "GET /TimZyStore/Stylesheet/admin.css HTTP/1.1" 304 -
